100-Body Run with i = 32 th particle. (Units in pc,M_solar,Myr, km s-1) 

time		 x 		 y 		 z 		 xdot 		 ydot 		 zdot 		 xddot 		 yddot 		 zddot
0.0000 	 0.4057 	 -0.0527 	 -0.3989 	 -0.0054 	 -0.0007 	 0.0067 	 -0.8746 	 -0.5236 	 0.1559
0.0100 	 0.4056 	 -0.0528 	 -0.3989 	 -0.0142 	 -0.0059 	 0.0083 	 -0.8775 	 -0.5243 	 0.1554
0.0200 	 0.4054 	 -0.0528 	 -0.3988 	 -0.0230 	 -0.0112 	 0.0098 	 -0.8849 	 -0.5247 	 0.1542
0.0301 	 0.4052 	 -0.0530 	 -0.3987 	 -0.0320 	 -0.0164 	 0.0114 	 -0.9060 	 -0.5241 	 0.1474
0.0401 	 0.4048 	 -0.0532 	 -0.3985 	 -0.0411 	 -0.0217 	 0.0127 	 -0.8897 	 -0.5237 	 0.1185
0.0501 	 0.4043 	 -0.0534 	 -0.3984 	 -0.0500 	 -0.0270 	 0.0135 	 -0.8748 	 -0.5352 	 0.0566
0.0601 	 0.4038 	 -0.0537 	 -0.3983 	 -0.0585 	 -0.0324 	 0.0140 	 -0.8326 	 -0.5460 	 0.0552
0.0701 	 0.4032 	 -0.0541 	 -0.3981 	 -0.0667 	 -0.0379 	 0.0147 	 -0.8131 	 -0.5538 	 0.0721
0.0802 	 0.4024 	 -0.0545 	 -0.3980 	 -0.0748 	 -0.0435 	 0.0155 	 -0.8076 	 -0.5604 	 0.0823
0.0902 	 0.4017 	 -0.0549 	 -0.3978 	 -0.0829 	 -0.0491 	 0.0163 	 -0.8061 	 -0.5671 	 0.0863
0.1002 	 0.4008 	 -0.0555 	 -0.3977 	 -0.0910 	 -0.0549 	 0.0172 	 -0.8057 	 -0.5745 	 0.0870
0.1102 	 0.3998 	 -0.0560 	 -0.3975 	 -0.0991 	 -0.0607 	 0.0180 	 -0.8056 	 -0.5823 	 0.0873
0.1202 	 0.3988 	 -0.0567 	 -0.3973 	 -0.1071 	 -0.0665 	 0.0190 	 -0.8048 	 -0.5886 	 0.0950
0.1303 	 0.3977 	 -0.0574 	 -0.3971 	 -0.1152 	 -0.0725 	 0.0200 	 -0.7964 	 -0.5944 	 0.1070
0.1403 	 0.3965 	 -0.0581 	 -0.3969 	 -0.1231 	 -0.0785 	 0.0211 	 -0.7790 	 -0.6034 	 0.1131
0.1503 	 0.3952 	 -0.0589 	 -0.3967 	 -0.1308 	 -0.0846 	 0.0222 	 -0.7611 	 -0.6167 	 0.1101
0.1603 	 0.3939 	 -0.0598 	 -0.3964 	 -0.1383 	 -0.0908 	 0.0233 	 -0.7460 	 -0.6308 	 0.1016
0.1703 	 0.3925 	 -0.0608 	 -0.3962 	 -0.1457 	 -0.0972 	 0.0242 	 -0.7301 	 -0.6483 	 0.0848
0.1804 	 0.3910 	 -0.0618 	 -0.3960 	 -0.1530 	 -0.1038 	 0.0250 	 -0.7214 	 -0.6717 	 0.0744
0.1904 	 0.3894 	 -0.0628 	 -0.3957 	 -0.1602 	 -0.1107 	 0.0257 	 -0.7138 	 -0.6955 	 0.0671
